"month","day","hour","daypart","season1","good_weather","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count"
"January","Saturday",0,"1","1","1","1","0","0","1",9.84,14.395,81,0,16
"January","Saturday",1,"1","1","1","1","0","0","1",9.02,13.635,80,0,40
"January","Saturday",2,"1","1","1","1","0","0","1",9.02,13.635,80,0,32
"January","Saturday",3,"1","1","1","1","0","0","1",9.84,14.395,75,0,13
"January","Saturday",4,"1","1","1","1","0","0","1",9.84,14.395,75,0,1
"January","Saturday",5,"1","1","1","1","0","0","2",9.84,12.88,75,6.0032,1
"January","Saturday",6,"1","1","1","1","0","0","1",9.02,13.635,80,0,2
"January","Saturday",7,"2","1","1","1","0","0","1",8.2,12.88,86,0,3
"January","Saturday",8,"2","1","1","1","0","0","1",9.84,14.395,75,0,8
"January","Saturday",9,"2","1","1","1","0","0","1",13.12,17.425,76,0,14
"January","Saturday",10,"2","1","1","1","0","0","1",15.58,19.695,76,16.9979,36
"January","Saturday",11,"3","1","1","1","0","0","1",14.76,16.665,81,19.0012,56
"January","Saturday",12,"3","1","1","1","0","0","1",17.22,21.21,77,19.0012,84
"January","Saturday",13,"3","1","1","1","0","0","2",18.86,22.725,72,19.9995,94
"January","Saturday",14,"3","1","1","1","0","0","2",18.86,22.725,72,19.0012,106
"January","Saturday",15,"3","1","1","1","0","0","2",18.04,21.97,77,19.9995,110
"January","Saturday",16,"4","1","1","1","0","0","2",17.22,21.21,82,19.9995,93
"January","Saturday",17,"4","1","1","1","0","0","2",18.04,21.97,82,19.0012,67
"January","Saturday",18,"4","1","0","1","0","0","3",17.22,21.21,88,16.9979,35
"January","Saturday",19,"4","1","0","1","0","0","3",17.22,21.21,88,16.9979,37
"January","Saturday",20,"4","1","1","1","0","0","2",16.4,20.455,87,16.9979,36
"January","Saturday",21,"5","1","1","1","0","0","2",16.4,20.455,87,12.998,34
"January","Saturday",22,"5","1","1","1","0","0","2",16.4,20.455,94,15.0013,28
"January","Saturday",23,"5","1","1","1","0","0","2",18.86,22.725,88,19.9995,39
"January","Sunday",0,"1","1","1","1","0","0","2",18.86,22.725,88,19.9995,17
"January","Sunday",1,"1","1","1","1","0","0","2",18.04,21.97,94,16.9979,17
"January","Sunday",2,"1","1","1","1","0","0","2",17.22,21.21,100,19.0012,9
"January","Sunday",3,"1","1","1","1","0","0","2",18.86,22.725,94,12.998,6
"January","Sunday",4,"1","1","1","1","0","0","2",18.86,22.725,94,12.998,3
"January","Sunday",6,"1","1","0","1","0","0","3",17.22,21.21,77,19.9995,2
"January","Sunday",7,"2","1","1","1","0","0","2",16.4,20.455,76,12.998,1
"January","Sunday",8,"2","1","0","1","0","0","3",16.4,20.455,71,15.0013,8
"January","Sunday",9,"2","1","1","1","0","0","2",15.58,19.695,76,15.0013,20
"January","Sunday",10,"2","1","1","1","0","0","2",14.76,17.425,81,15.0013,53
"January","Sunday",11,"3","1","1","1","0","0","2",14.76,16.665,71,16.9979,70
"January","Sunday",12,"3","1","1","1","0","0","2",14.76,16.665,66,19.9995,93
"January","Sunday",13,"3","1","1","1","0","0","2",14.76,17.425,66,8.9981,75
"January","Sunday",14,"3","1","0","1","0","0","3",14.76,17.425,76,12.998,59
"January","Sunday",15,"3","1","0","1","0","0","3",13.94,16.665,81,11.0014,74
"January","Sunday",16,"4","1","0","1","0","0","3",13.94,16.665,71,11.0014,76
"January","Sunday",17,"4","1","1","1","0","0","1",13.94,16.665,57,12.998,65
"January","Sunday",18,"4","1","1","1","0","0","2",14.76,16.665,46,22.0028,53
"January","Sunday",19,"4","1","1","1","0","0","1",13.12,14.395,42,30.0026,30
"January","Sunday",20,"4","1","1","1","0","0","1",12.3,13.635,39,23.9994,22
"January","Sunday",21,"5","1","1","1","0","0","1",10.66,11.365,44,22.0028,31
"January","Sunday",22,"5","1","1","1","0","0","1",9.84,10.605,44,19.9995,9
