"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Area_Of_Wilderness","Soil_Type","Cover_Type"
0.369,0.142,0.045,0.185,0.224,0.072,0.87,0.913,0.583,0.875,"W1","S29","C5"
0.366,0.156,0.03,0.152,0.216,0.055,0.866,0.925,0.594,0.868,"W1","S29","C5"
0.473,0.386,0.136,0.192,0.307,0.447,0.921,0.937,0.531,0.853,"W1","S12","C2"
0.463,0.431,0.273,0.173,0.376,0.434,0.937,0.937,0.48,0.866,"W1","S30","C2"
0.368,0.125,0.03,0.11,0.222,0.055,0.866,0.921,0.591,0.86,"W1","S29","C5"
0.36,0.367,0.091,0.215,0.204,0.009,0.906,0.933,0.551,0.841,"W1","S29","C2"
0.374,0.125,0.106,0.193,0.23,0.089,0.874,0.886,0.543,0.872,"W1","S29","C5"
0.373,0.136,0.061,0.168,0.233,0.081,0.874,0.906,0.567,0.868,"W1","S29","C5"
0.379,0.125,0.136,0.172,0.296,0.094,0.878,0.87,0.524,0.87,"W1","S29","C5"
0.377,0.164,0.152,0.177,0.238,0.089,0.898,0.862,0.488,0.869,"W1","S29","C5"
0.377,0.558,0.061,0.129,0.289,0.103,0.858,0.957,0.634,0.867,"W1","S18","C5"
0.514,0.419,0.167,0.266,0.257,0.738,0.921,0.945,0.535,0.565,"W1","S30","C2"
0.442,0.372,0.333,0.107,0.313,0.452,0.976,0.882,0.362,0.849,"W1","S30","C2"
0.375,0.594,0.106,0.107,0.283,0.108,0.839,0.972,0.669,0.866,"W1","S18","C5"
0.322,0.436,0.061,0.048,0.229,0.095,0.882,0.945,0.594,0.781,"W1","S18","C5"
0.318,0.142,0.106,0.03,0.226,0.106,0.882,0.886,0.539,0.777,"W1","S16","C5"
0.376,0.719,0.015,0.086,0.222,0.085,0.85,0.941,0.634,0.85,"W1","S29","C5"
0.329,0.2,0.106,0.061,0.231,0.084,0.898,0.894,0.524,0.782,"W1","S18","C5"
0.323,0,0.061,0.068,0.23,0.097,0.843,0.913,0.614,0.777,"W1","S18","C5"
0.322,0.106,0.076,0.061,0.236,0.104,0.866,0.898,0.567,0.774,"W1","S18","C5"
0.321,0.197,0.136,0.043,0.234,0.108,0.906,0.878,0.496,0.773,"W1","S18","C5"
