"Elevation","Soil_Type","Horizontal_Distance_To_Roadways","Horizontal_Distance_To_Fire_Points","Area_Of_Wilderness","Horizontal_Distance_To_Hydrology","Hillshade_3pm","Aspect","Cover_Type"
0.369,29,0.072,0.875,1,0.185,0.583,0.142,5
0.366,29,0.055,0.868,1,0.152,0.594,0.156,5
0.473,12,0.447,0.853,1,0.192,0.531,0.386,2
0.463,30,0.434,0.866,1,0.173,0.48,0.431,2
0.368,29,0.055,0.86,1,0.11,0.591,0.125,5
0.36,29,0.009,0.841,1,0.215,0.551,0.367,2
0.374,29,0.089,0.872,1,0.193,0.543,0.125,5
0.373,29,0.081,0.868,1,0.168,0.567,0.136,5
0.379,29,0.094,0.87,1,0.172,0.524,0.125,5
0.377,29,0.089,0.869,1,0.177,0.488,0.164,5
0.377,18,0.103,0.867,1,0.129,0.634,0.558,5
0.514,30,0.738,0.565,1,0.266,0.535,0.419,2
0.442,30,0.452,0.849,1,0.107,0.362,0.372,2
0.375,18,0.108,0.866,1,0.107,0.669,0.594,5
0.322,18,0.095,0.781,1,0.048,0.594,0.436,5
0.318,16,0.106,0.777,1,0.03,0.539,0.142,5
0.376,29,0.085,0.85,1,0.086,0.634,0.719,5
0.329,18,0.084,0.782,1,0.061,0.524,0.2,5
0.323,18,0.097,0.777,1,0.068,0.614,0,5
0.322,18,0.104,0.774,1,0.061,0.567,0.106,5
0.321,18,0.108,0.773,1,0.043,0.496,0.197,5
0.511,30,0.701,0.603,1,0.155,0.705,0.581,2
0.455,30,0.469,0.833,1,0.137,0.28,0.317,5
0.326,18,0.09,0.776,1,0.089,0.512,0.15,5
0.324,18,0.103,0.772,1,0.086,0.563,0.061,5
0.317,18,0.121,0.766,1,0,0.559,0.375,5
0.315,18,0.119,0.765,1,0.021,0.571,0.453,5
0.552,29,0.831,0.473,1,0.231,0.472,0.411,2
0.476,12,0.516,0.787,1,0.152,0.606,0.375,2
0.44,30,0.461,0.841,1,0.091,0.28,0.325,5
0.422,30,0.448,0.854,1,0.048,0.205,0.339,5
0.332,18,0.084,0.776,1,0.086,0.512,0.292,5
0.33,18,0.087,0.775,1,0.089,0.539,0.283,5
0.329,18,0.092,0.772,1,0.107,0.579,0.064,5
0.328,18,0.096,0.771,1,0.116,0.524,0.114,5
0.521,29,0.731,0.574,1,0.173,0.394,0.125,2
0.425,30,0.453,0.85,1,0.048,0.24,0.347,5
0.326,18,0.101,0.766,1,0.13,0.516,0.256,5
0.445,30,0.466,0.837,1,0.089,0.142,0.272,5
0.414,30,0.445,0.858,1,0,0.618,0.983,5
0.42,20,0.295,0.955,1,0,0.626,0.964,1
0.356,29,0.047,0.801,1,0,0.622,0.961,2
0.337,18,0.081,0.774,1,0.107,0.496,0.197,5
0.422,16,0.441,0.862,1,0.021,0.724,0.917,5
0.41,12,0.233,0.913,1,0.068,0.555,0.356,2
0.335,18,0.094,0.765,1,0.15,0.512,0.189,5
