"","X","Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Area_Of_Wilderness","Soil_Type","Cover_Type"
"1",1,-0.367,-0.96,-1.597,0.147,-0.834,-0.909,0.271,0.572,0.281,4.335,"W1","S29","C5"
"2",2,-0.381,-0.915,-1.715,-0.072,-0.932,-0.999,0.239,0.703,0.347,4.286,"W1","S29","C5"
"3",3,0.131,-0.161,-0.887,0.194,0.227,1.106,0.697,0.835,-0.002,4.191,"W1","S12","C2"
"4",4,0.085,-0.015,0.177,0.07,1.093,1.038,0.828,0.835,-0.285,4.273,"W1","S30","C2"
"5",5,-0.369,-1.014,-1.715,-0.353,-0.85,-0.998,0.239,0.659,0.325,4.237,"W1","S29","C5"
"6",6,-0.408,-0.224,-1.242,0.347,-1.079,-1.243,0.566,0.791,0.107,4.109,"W1","S29","C2"
"7",7,-0.343,-1.014,-1.124,0.204,-0.752,-0.816,0.304,0.265,0.063,4.314,"W1","S29","C5"
"8",8,-0.346,-0.978,-1.479,0.032,-0.72,-0.861,0.304,0.484,0.194,4.288,"W1","S29","C5"
"9",9,-0.317,-1.014,-0.887,0.061,0.08,-0.791,0.337,0.089,-0.046,4.303,"W1","S29","C5"
"10",10,-0.329,-0.887,-0.769,0.094,-0.654,-0.814,0.5,0.002,-0.242,4.29,"W1","S29","C5"
"11",11,-0.329,0.403,-1.479,-0.225,-0.001,-0.739,0.173,1.054,0.565,4.283,"W1","S18","C5"
"12",12,0.327,-0.052,-0.651,0.685,-0.409,2.671,0.697,0.922,0.02,2.309,"W1","S30","C2"
"13",13,-0.018,-0.206,0.65,-0.367,0.293,1.133,1.155,0.221,-0.939,4.164,"W1","S30","C2"
"14",14,-0.336,0.521,-1.124,-0.367,-0.083,-0.712,0.01,1.229,0.761,4.273,"W1","S18","C5"
"15",15,-0.59,0.003,-1.479,-0.763,-0.769,-0.785,0.37,0.922,0.347,3.717,"W1","S18","C5"
"16",16,-0.609,-0.96,-1.124,-0.882,-0.801,-0.726,0.37,0.265,0.042,3.696,"W1","S16","C5"
"17",17,-0.334,0.929,-1.834,-0.51,-0.85,-0.835,0.108,0.879,0.565,4.168,"W1","S29","C5"
"18",18,-0.556,-0.769,-1.124,-0.677,-0.736,-0.845,0.5,0.352,-0.046,3.724,"W1","S18","C5"
"19",19,-0.587,-1.423,-1.479,-0.629,-0.752,-0.772,0.042,0.572,0.456,3.692,"W1","S18","C5"
"20",20,-0.59,-1.078,-1.361,-0.677,-0.671,-0.734,0.239,0.396,0.194,3.676,"W1","S18","C5"
"21",21,-0.595,-0.778,-0.887,-0.796,-0.703,-0.715,0.566,0.177,-0.198,3.669,"W1","S18","C5"
"22",22,0.313,0.475,0.059,-0.053,-0.344,2.469,-0.219,1.493,0.957,2.556,"W1","S30","C2"
"23",23,0.045,-0.388,0.769,-0.168,0.505,1.226,1.286,-0.437,-1.396,4.056,"W1","S30","C5"
"24",24,-0.571,-0.933,-1.006,-0.491,-0.834,-0.812,0.402,0.133,-0.111,3.689,"W1","S18","C5"
"25",25,-0.58,-1.223,-0.887,-0.51,-0.605,-0.741,0.075,0.089,0.172,3.657,"W1","S18","C5"
"26",26,-0.616,-0.197,-1.242,-1.081,-0.834,-0.645,0.533,0.791,0.151,3.621,"W1","S18","C5"
"27",27,-0.623,0.057,-0.769,-0.939,-0.899,-0.653,0.566,1.054,0.216,3.614,"W1","S18","C5"
"28",28,0.509,-0.079,-0.059,0.456,-0.458,3.171,0.893,0.747,-0.329,1.713,"W1","S29","C2"
"29",29,0.148,-0.197,-1.834,-0.072,-0.344,1.476,0.239,0.835,0.412,3.756,"W1","S12","C2"
"30",30,-0.025,-0.36,0.887,-0.477,0.031,1.183,1.319,-0.393,-1.396,4.111,"W1","S30","C5"
"31",31,-0.111,-0.315,1.597,-0.763,-0.393,1.115,1.351,-0.788,-1.81,4.193,"W1","S30","C5"
